mass,220
wheelbase,1.36906
wheel radius,0.32004
muTire,1.12
tire profile Tx,0.05712
tire profile Ty,0.0933
brake lever pull force,500
x_lever,0.085
y_lever,0.02
brake slave cyl,0.000526
brake master cyl,0.000615
number of pistons,8
rotor radius,0.155
muRotor,0.55
rwTorque,800
